ORDER #,SKU,PICK QTY,QTY AVAILABLE,ITEM DESCRIPTION,UNIT,BIN #,LOCATION,DATE
TP001-1,SP7875,3,20,Item 1,Each,T345,"Row 2, slot 1",01-06-2024
TP001-1,YE98767,1,40,Item 4,Box (10 ct),T9876,"Row 3, slot 2",02-06-2024
TP001-1,BM87684,2,10,Item 7,Each,T349,"Row 1, slot 2",03-06-2024
TP001-1,TS3456,6,15,Item 10,Each,T349,"Row 1, slot 2",04-06-2024
TP001-1,MK676554,3,10,Item 3,Each,T5789,"Row 1, slot 1",05-06-2024
TP001-2,BH67655,4,19,Item 8,Each,T5789,"Row 1, slot 1",01-06-2024
TP001-2,TS3456,3,9,Item 10,Each,T349,"Row 1, slot 2",02-06-2024
TP001-3,XR23423,1,12,Item 5,Each,T098,"Row 3, slot 1",03-06-2024
TP002-1,BH67655,2,15,Item 8,Each,T5789,"Row 1, slot 1",04-06-2024
TP002-2,XR23423,2,11,Item 5,Each,T098,"Row 3, slot 1",05-06-2024
TP002-3,XR23423,3,9,Item 5,Each,T098,"Row 3, slot 1",01-06-2024
TP003-1,TS3456,2,6,Item 10,Each,T349,"Row 1, slot 2",02-06-2024
TP003-1,BH67655,2,13,Item 8,Each,T5789,"Row 1, slot 1",03-06-2024
TP003-2,TS3456,1,4,Item 10,Each,T349,"Row 1, slot 2",04-06-2024
TP003-1,WDG123,5,25,Item 11,Each,T349,"Row 1, slot 2",05-06-2024
TP003-3,BH67655,1,11,Item 8,Each,T5789,"Row 1, slot 1",01-06-2024
TP003-3,WDG123,11,20,Item 11,Each,T349,"Row 1, slot 2",02-06-2024
